MLP,SVM,SGD,KNN,NC,DT
90.79952969,88.47736626,86.56672546,89.85890653,29.15931805,78.01293357
90.79952969,88.0952381,83.65667255,88.85949442,26.80776014,77.89535567
91.00529101,88.59494415,83.92122281,90.00587889,22.10464433,78.74779541
90.79952969,88.56554968,86.03762493,89.94708995,26.89594356,80.04115226
91.06407995,88.27160494,82.48089359,89.30041152,26.45502646,77.77777778
90.79952969,88.47736626,84.62669018,89.68253968,26.16108172,76.39623751
90.74074074,88.12463257,86.1845973,89.53556731,26.66078777,78.4244562
90.82892416,88.50676073,85.77307466,89.68253968,26.92533804,77.92475015
91.00529101,87.88947678,86.0670194,88.80070547,25.10288066,77.77777778
90.41740153,88.5361552,86.36096414,90.47619048,25.66137566,78.01293357
91.59318048,88.5361552,84.03880071,90.32921811,28.48324515,78.92416226
91.35802469,88.6537331,85.3909465,89.91769547,25.86713698,78.04232804
89.82951205,87.53674309,83.12757202,89.53556731,26.16108172,78.01293357
90.53497942,88.50676073,82.74544386,89.56496179,26.71957672,77.98353909
90.85831864,88.47736626,84.53850676,89.15343915,27.68959436,78.5420341
90.79952969,88.83009994,85.53791887,90.27042916,27.07231041,78.68900647
90.59376837,87.88947678,85.00881834,89.65314521,25.98471487,78.74779541
91.26984127,88.15402704,83.30393886,89.71193416,26.60199882,78.65961199
91.41681364,88.18342152,85.74368019,89.7707231,25.54379777,78.15990594
90.82892416,88.15402704,85.59670782,89.53556731,27.07231041,78.63021752
90.74074074,88.41857731,81.0111699,89.15343915,26.92533804,79.62962963
90.47619048,88.24221046,84.03880071,89.47677837,27.57201646,78.83597884
92.00470312,88.33039389,83.80364491,90.27042916,25.45561434,78.74779541
90.68195179,88.59494415,85.21457966,89.74132863,28.36566725,78.21869489
90.82892416,88.06584362,83.71546149,90.32921811,26.45502646,77.42504409
91.59318048,88.59494415,81.09935332,89.71193416,29.36507937,78.15990594
90.5643739,88.21281599,83.24514991,89.44738389,28.5420341,79.54144621
90.62316285,88.03644915,78.60082305,89.53556731,26.77836567,78.33627278
91.29923574,88.50676073,83.39212228,89.71193416,28.36566725,77.89535567
90.88771311,88.06584362,84.89124045,88.83009994,27.60141093,77.71898883
90.38800705,88.35978836,81.21693122,89.12404468,26.10229277,78.30687831
92.56319812,88.85949442,85.06760729,90.446796,25.74955908,79.89417989
91.44620811,88.15402704,82.56907701,89.62375073,26.66078777,77.54262199
91.50499706,87.94826573,86.53733098,90.29982363,25.86713698,78.30687831
91.21105232,88.38918283,84.77366255,89.41798942,24.98530276,79.15931805
90.71134627,87.88947678,84.7148736,89.18283363,26.30805409,77.51322751
91.29923574,88.06584362,85.97883598,90.446796,30.09994121,79.15931805
91.21105232,88.44797178,84.53850676,89.7707231,27.57201646,79.57084068
90.27042916,88.33039389,84.56790123,89.12404468,29.1005291,77.54262199
91.06407995,88.33039389,84.80305703,89.47677837,26.60199882,78.01293357
91.09347443,88.15402704,83.18636096,89.85890653,26.45502646,77.95414462
88.67483946293054,89.31698774080562,82.95388207822533,91.18505545826036,26.15294804436661,75.30647985989492
87.04028021015762,90.19264448336253,83.82953882078226,89.66725043782837,27.028604786923527,73.78867483946293
87.215411558669,89.84238178633976,83.07063631056626,90.48453006421482,29.480443666082895,73.38003502626971
87.15703444249854,90.30939871570345,85.75598365440747,90.77641564506713,22.475189725627555,73.0881494454174
